"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Вопросы о важном","8","0","Тест для раздела «Вопросы о важном»","0"
"0","","0","Тестирование оформления заказа","2","0","Тест оформления заказа самоката","0"
"0","","0","Тестирование оформления заказа","2","0","Тест для кнопки «Заказать»","0"
"0","","0","Тестирование оформления заказа","1","0","Тест для лого «Самокат»","0"
"0","","0","Тестирование оформления заказа","1","0","Тест для лого «Яндекс»","0"
